Title,Price (Rs.),Bedrooms,Bathrooms,City
Two Storied House for Sale In Rathgama,15500000.0,3,2,Galle
House For Sale Gampaha - Minuwangoda Yakahatuwa,6500000.0,1,1,Gampaha
House For Sale Gampaha - Minuwangoda Yakahatuwa,6500000.0,1,1,Gampaha
MODERN BRAND NEW HOUSE FOR SALE AT LONDON SQAURE KOLONNAWA,45000000.0,5,3,Colombo
Main Road Facing 52 P Sale At Pepiliyana-Belantota,286000000.0,1,1,Colombo
Luxury House Sale in Nugegoda,300000000.0,5,7,Colombo
House for Sale Wejerama Nugegoda,64000000.0,5,5,Colombo
Design Super Luxury House for Sale in Heart of Nugegoda,200000000.0,8,6,Colombo
Luxury 02 Story House with 31P Sale at Nugegoda,145000000.0,5,3,Colombo
Brand New House For Sale in Thalawathugoda,56000000.0,4,3,Colombo
Luxury House for Sale in Mount Lavania,85000000.0,5,4,Colombo
"02 Story House With 33.14 Sale At Thalahena, Battaramulla",92000000.0,4,4,Colombo
No Title,,0,0,
Modern Great Type Luxury Furnished 10 BR House Sale With Pool in Negombo,75000000.0,10,10,Gampaha
Luxury 5-Bedroom Home for Sale - Thalawathugoda,140000000.0,5,5,Colombo
02 STOREY HOUSE FOR SALE IN NAWALA,170000000.0,5,4,Colombo
02 Story house With 12 P For Sale at Pagoda road Nugegoda,58000000.0,5,4,Colombo
Single Story House with 34 P Sale at Mirihana Nugegoda,250000000.0,5,5,Colombo
02 Story Luxury House With 10 P for sale in Kotte,42500000.0,5,2,Colombo
02 Story House with 15 P Sale at Alhena Road Maharagama,57000000.0,4,3,Colombo
Luxury House for Sale: Borelasgamuwa,95000000.0,4,4,Colombo
Brand New House Sale At Delkada Nugegoda,46000000.0,4,3,Colombo
House for Sale in Negombo,22000000.0,3,1,Gampaha
House for Sale Negombo,34000000.0,3,2,Gampaha
Modern Stylish Home with Scenic Views Sale in Pannipitiya,54000000.0,4,2,Colombo
Genuine Perfect Spacious 3 Apartment Type Villa Sale Negombo,58000000.0,7,4,Gampaha
02 Story House for Sale Katubedda,92000000.0,3,2,Colombo
02 Story Luxury House Sale At Malwatha Rd Dehiwala,110000000.0,6,4,Colombo
Super Luxury 03 Story House For Sale In Ethulkotte,135000000.0,4,3,Colombo
House for Sale Near Katubedda Campus,59000000.0,3,2,Colombo
"Riverfront 4 bedroom Villa with 70 Perches Land Hettimulla, Beruwala",100000000.0,4,4,Kalutara
House for Sale Near Katubedda Campus,59000000.0,3,2,Colombo
Luxury Family Living in Prime Thalawathugoda,54000000.0,5,3,Colombo
Prime 88 Residencies B/New Gated Community House for Sale in Piliyandala,35000000.0,3,3,Colombo
Luxury Lakefront Residence for Sale â Attidiya,150000000.0,4,4,Colombo
Super Luxury Two Storey House for Sale in Battaramulla,125000000.0,4,4,Colombo
5 Bedroom Luxury House For Sale in Piliyandala - EH208,33000000.0,5,4,Colombo
Brand New Super Luxury House For Sale In Piliyandala Madapatha Road.,95000000.0,4,3,Colombo
Modern 4-Storey Luxury Residence with Lift â Dehiwala,180000000.0,4,4,Colombo
Newly Built Luxury 2-Storey House for Sale in Piliyandala Miriswatta,42500000.0,4,3,Colombo
House for Sale in Boralesgamuwa,55000000.0,4,2,Colombo
No Title,,0,0,
Residential House for Sale in Dehiwala,60000000.0,5,2,Colombo
Two Storey House for Sale in Dehiwala,48000000.0,5,4,Colombo
Two Storey House for Sale in Dehiwala,30000000.0,6,2,Colombo
Spacious Three Storey House for Sale in Attidiya Dehiwala,37500000.0,5,4,Colombo
House for Sale in Dehiwala Junction,150000000.0,4,2,Colombo
29.2 Perch Elegant House for Sale in Kotte Baddegana,110000000.0,4,3,Colombo
02 Story House With 22 P Sale At Pannipitiya,59000000.0,5,3,Colombo
03 Story Luxury House With 22 P Sale in koswatha Nawala,220000000.0,4,4,Colombo
House for Sale in Colombo 07,485000000.0,5,3,Colombo
Super Luxury 3-Story House for Sale â Rajagiriya Gem,400000000.0,7,6,Colombo
Luxury Two-Story House for Sale in Battaramulla â Near Parliament,99000000.0,6,4,Colombo
Stunning two story house for sale in Nugegoda,79000000.0,5,4,Colombo
Single Story House With 10 P Sale At Katubeda Moratuwa,42000000.0,3,3,Colombo
Newly Build Luxury Three Story House For Sale In Homagama,53500000.0,4,4,Colombo
Two Storey House For Sale In Ratmalana,55000000.0,5,5,Colombo
Two Storey House for Sale in Dehiwala,75000000.0,4,3,Colombo
"Riverfront 4 bedroom Villa with 70 Perches Land Hettimulla, Beruwala",100000000.0,4,4,Kalutara
House For Sale in Hikkaduwa Tourism Development Area,35000000.0,7,5,Galle
House for Sale in Wattala Hunupitiya,27000000.0,3,2,Gampaha
Brand New House for Sale in Pannipitiya,52000000.0,6,2,Colombo
"10 Perch 2-Storey House for Sale - Mount Lavinia, Galle Road",55000000.0,7,2,Colombo
Brand New House For Sale Malabe,24000000.0,3,2,Colombo
Two-Storey House for Sale in Wellampitiya,12500000.0,4,3,Colombo
5BR Two Storey House for Sale in Hokandara,32000000.0,5,3,Colombo
Two Story House for Sale in Malabe,42000000.0,5,4,Colombo
Furnished Super Luxury 4BR House For Sale In Kottawa Mattegoda,31900000.0,4,3,Colombo
Brand New Modern house for sale athurugiriya,24000000.0,3,2,Colombo
Super Luxury Two House for Sale in Kottawa Makumbura,30000000.0,5,3,Colombo
No Title,,0,0,
Brand New Box Type Single Storey House In Kahathuduwa,22500000.0,3,2,Colombo
GATED COMMUNITY LUXURY HOUSE FOR SALE IN PILIYANDALA SUWARAPOLA,33000000.0,3,2,Colombo
