Title,Price,Details,Location,Page
(RH478) Two Storey House for Sale in Dehiwala,"Rs 30,000,000","Bedrooms: 6, Bathrooms: 2","Colombo, Houses For Sale",2
(RH420) Spacious Three Storey House for Sale in Attidiya Dehiwala,"Rs 37,500,000","Bedrooms: 5, Bathrooms: 4","Colombo, Houses For Sale",2
(RH418) House for Sale in Dehiwala Junction,"Rs 150,000,000","Bedrooms: 4, Bathrooms: 2","Colombo, Houses For Sale",2
29.2 Perch Elegant House for Sale in Kotte Baddegana,"Rs 110,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",2
(AF761) 02 Story House With 22 P Sale At Pannipitiya,"Rs 59,000,000","Bedrooms: 5, Bathrooms: 3","Colombo, Houses For Sale",2
(AF760) 03 Story Luxury House With 22 P Sale in koswatha Nawala,"Rs 220,000,000","Bedrooms: 4, Bathrooms: 4","Colombo, Houses For Sale",2
House for Sale in Colombo 07,"Rs 485,000,000","Bedrooms: 5, Bathrooms: 3","Colombo, Houses For Sale",2
Super Luxury 3-Story House for Sale â Rajagiriya Gem,"Rs 400,000,000","Bedrooms: 7, Bathrooms: 6","Colombo, Houses For Sale",2
Luxury Two-Story House for Sale in Battaramulla â Near Parliament,"Rs 99,000,000","Bedrooms: 6, Bathrooms: 4","Colombo, Houses For Sale",2
(AF755) Stunning two story house for sale in Nugegoda,"Rs 79,000,000","Bedrooms: 5, Bathrooms: 4","Colombo, Houses For Sale",2
(AF753) Single Story House With 10 P Sale At Katubeda Moratuwa,"Rs 42,000,000","Bedrooms: 3, Bathrooms: 3","Colombo, Houses For Sale",2
Newly Build Luxury Three Story House For Sale In Homagama,"Rs 53,500,000","Bedrooms: 4, Bathrooms: 4","Colombo, Houses For Sale",2
Two Storey House For Sale In Ratmalana,"Rs 55,000,000","Bedrooms: 5, Bathrooms: 5","Colombo, Houses For Sale",2
(RH522) Two Storey House for Sale in Dehiwala,"Rs 75,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",2
"Riverfront 4 bedroom Villa with 70 Perches Land Hettimulla, Beruwala","Rs 100,000,000","Bedrooms: 4, Bathrooms: 4","Kalutara, Houses For Sale",4
