Product Name,Current Price,Description,Product URL,Image URL
MSI Cyborg Gaming 15 AI A1VEK – Ultra 7,440000.0,"| – Intel Core Ultra 7 155H Processor | 
– 512GB M.2 PCIe NVMe SSD | 
– 16GB DDR5 4800MHZ RAM | 
– 15.6″, FHD (1920×1080), 144Hz IPS Display | 
– 6GB NVIDIA GeForce RTX 4050 Graphics | 
– 4-Zone RGB Gaming Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/msi-cyborg-gaming-15-ai-a1vek-ultra-7/,https://www.laptop.lk/wp-content/uploads/2024/06/MSI-Cyborg-Gaming-15-AI-A1VEK-–-Ultra-7-300x300.webp
Lenovo Yoga 7 2-in-1 14AKP10 – Ryzen AI 7,439000.0,"| – AMD Ryzen AI 7 350 Processor | 
– AMD Ryzen AI, up to 50 TOPS | 
– 1TB M.2 2242 PCIe NVMe SSD | 
– 32GB LPDDR5x-7500 RAM | 
– 14″ WUXGA (1920×1200) OLED 600nits Touch Display | 
– AMD Radeon 860M Graphics | 
– Backlit, English Keyboard | 
– Windows 11 Home | 
– Office Home 2024 | 
 |",https://www.laptop.lk/product/lenovo-yoga-7-2-in-1-14akp10-ryzen-ai-7-2/,https://www.laptop.lk/wp-content/uploads/2025/06/Lenovo-Yoga-7-2-in-1-14AKP10-–-Ryzen-AI-7-300x300.jpg
Lenovo IdeaPad Pro 5 Creator 16AHP9 – Ryzen 7 (16GB),435000.0,"| – AMD AI integrated Ryzen 7 8845HS | 
– 1TB SSD M.2 2242 PCIe NVMe | 
– 16GB LPDDR5x-6400 RAM | 
– 16″ 2K, 120Hz, OLED Display | 
– 6GB NVIDIA GeForce RTX 3050 Graphics | 
– Backlit With English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-ideapad-pro-5-creator-16ahp9-ryzen-7-2/,https://www.laptop.lk/wp-content/uploads/2022/08/Lenovo-IdeaPad-Pro-5-Creator-16AHP9-Ryzen-7-16GB-300x300.jpg
Dell 5525 G15 Gaming – Ryzen 5,425000.0,"| – AMD Ryzen 5 – 6600H Processor | 
– 8GB DDR5 4800MHz RAM | 
– 512GB, M.2, PCIe SSD | 
– GeForce RTX 3050, 4GB Graphics | 
– 15.6″, FHD, 120Hz Refresh Rate Display | 
– Dark Shadow Grey Color | 
– Windows 11 Home | 
– Microsoft Office Home and Student 2021 | 
 |",https://www.laptop.lk/product/dell-5525-g15-gaming-laptop-ryzen-5/,https://www.laptop.lk/wp-content/uploads/2023/04/Dell-5525-G15-Gaming-Ryzen-5-1-300x300.webp
Lenovo LOQ Gaming 15AHP10 – Ryzen 7,395000.0,"| – AMD Ryzen 7 AI 250 Processor | 
– Integrated AMD Ryzen AI | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 16GB DDR5-5600 RAM | 
– 15.6″ FHD (1920×1080) IPS 100% sRGB, 144Hz Display | 
– 8GB NVIDIA GeForce RTX 5050 2662MHz, TGP 100W, 440 AI TOPS Graphics | 
– White Backlit English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-loq-gaming-15ahp10-ryzen-7/,https://www.laptop.lk/wp-content/uploads/2025/09/LOQ-15AHP10-300x300.jpg
HP EliteBook 8 G1i 14 – Ultra 7,385000.0,"| – Intel Core Ultra 7 255H Processor | 
– 512GB PCIe NVMe SSD | 
– 16GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-elitebook-8-g1i-14-ultra-7/,https://www.laptop.lk/wp-content/uploads/2026/01/HP-EliteBook-8-G1i-14-–-Ultra-7-4-1-300x300.jpg
Lenovo Yoga 7 2-in-1 14AKP10 – Ryzen AI 5,373000.0,"| – AMD Ryzen AI 5 340 Processor | 
– AMD Ryzen AI, up to 50 TOPS | 
– 1TB M.2 2242 PCIe NVMe SSD | 
– 16GB LPDDR5-6400 RAM | 
– 14″ WUXGA (1920×1200) OLED 600nits Touch Display | 
– AMD Radeon 840M Graphics | 
– Backlit, English Keyboard | 
– Windows 11 Home | 
– Office Home 2024 | 
 |",https://www.laptop.lk/product/lenovo-yoga-7-2-in-1-14akp10-ryzen-ai-5-2/,https://www.laptop.lk/wp-content/uploads/2025/06/Lenovo-Yoga-7-2-in-1-14AKP10-–-Ryzen-AI-5-1-300x300.jpg
Lenovo LOQ Gaming 15AHP10 –  Ryzen 5,369000.0,"| – AMD Ryzen 5 AI 220 Processor | 
– Integrated AMD Ryzen AI | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 16GB DDR5-5600 RAM | 
– 15.6″ FHD (1920×1080) IPS 100% sRGB, 144Hz Display | 
– 8GB NVIDIA GeForce RTX 5050 2662MHz, TGP 100W, | 
440 AI TOPS Graphics | 
– White Backlit English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-loq-gaming-15ahp10-ryzen-5/,https://www.laptop.lk/wp-content/uploads/2025/08/Lenovo-LOQ-Gaming-15AHP10-Ryzen-5-300x300.jpg
HP ProBook 4 G1i 14 – Ultra 7,345000.0,"| – Intel Core Ultra 7 255H Processor | 
– 512GB PCIe NVMe SSD | 
– 16GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-probook-4-g1i-14-ultra-7/,https://www.laptop.lk/wp-content/uploads/2025/12/HP-ProBook-4-G1i-14-–-Ultra-7-300x300.png
HP EliteBook 6 G1i 14 – Ultra 5,340000.0,"| – Intel Core Ultra 5 235H Processor | 
– 512GB PCIe NVMe SSD | 
– 16GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-elitebook-6-g1i-14-ultra-5/,https://www.laptop.lk/wp-content/uploads/2026/01/HP-EliteBook-6-G1i-14-–-Ultra-5-2-hy-300x300.jpg
Asus Vivobook S14 S3407QA – Snapdragon,329000.0,"| – Snapdragon X X1 26100 AI Processor | 
– 1TB M.2 NVMe PCIe 4.0 SSD | 
– 16GB LPDDR5X RAM | 
– 14″, 2.5K (2560 x 1600, WQXGA) IPS Display | 
– Qualcomm Adreno GPU | 
– Backlit Chiclet Keyboard | 
– Windows 11 Home | 
 | 
 |",https://www.laptop.lk/product/asus-vivobook-s14-s3407qa-snapdragon/,https://www.laptop.lk/wp-content/uploads/2025/08/Asus-Vivobook-S14-S3407QA-Snapdragon-300x300.jpg
MSI Cyborg 15 A2RUDX Gaming – Core 5,326000.0,"| – Intel Core 5 – 210H Processor | 
– 1TB M.2 NVMe PCIe GEN4 SSD | 
– 16GB DDR5  | 4800MHZ  | RAM | 
– 15.6″, FHD, 144Hz Refresh Rate Display | 
– 6GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
 |",https://www.laptop.lk/product/msi-cyborg-15-a2rudx-gaming-core-5-2/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-Cyborg-15-A2RUDX-Gaming-–-Core-5-300x300.jpg
MSI Thin A15 B7UC 630XLK – Ryzen 7,314500.0,"| – AMD Ryzen 7 7735HS Processor | 
– 512GB PCIe NVMe M.2 SSD | 
– 16GB DDR5-4800 RAM | 
– 15.6″ FHD (1920×1080), 144Hz Display | 
– 4GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
 |",https://www.laptop.lk/product/msi-thin-a15-b7uc-630xlk-ryzen-7/,https://www.laptop.lk/wp-content/uploads/2025/10/MSI-Thin-A15-B7UC-631XLK-LAPTOP-2-300x300.jpg
HP ProBook 440 14 inch G11 – Ultra 7,305000.0,"| – Intel Core Ultra 7 155U Processor | 
– 512GB PCIe NVMe SSD | 
– 8GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), Display | 
– Intel Graphics | 
– Fingerprint sensor | 
– Pike silver Color | 
 |",https://www.laptop.lk/product/hp-probook-440-14-inch-g11-ultra-7/,https://www.laptop.lk/wp-content/uploads/2025/07/HP-ProBook-440-14-inch-G11-Ultra-7-300x300.jpg
MSI Cyborg 15 Gaming A13UDX – i5,300000.0,"| – Intel Core i5-13420H Processor | 
– 1TB NVMe PCIe SSD | 
– 16GB DDR5 4800MHZ RAM | 
– 15.6″ FHD (1920×1080), 144Hz, IPS Display | 
– 6GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
– Translucent Black Color | 
 |",https://www.laptop.lk/product/msi-cyborg-15-gaming-a13udx-i5/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-CYBORG-15-A13UDX-LAPTOP-1-300x300.jpg
MSI Cyborg 15 Gaming A13UC- i7,299000.0,"| – Intel Core i7-13620H Processor | 
– 512GB NVMe PCIe SSD | 
– 16GB DDR5 5200MHz RAM | 
– 15.6″ FHD (1920×1080), 144Hz, IPS Display | 
– 4GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
– FreeDOS | 
 |",https://www.laptop.lk/product/msi-cyborg-15-gaming-a13uc-i7/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-CYBORG-15-A13UC-LAPTOP-300x300.jpg
Asus TUF Gaming A15 FA506NCG – Ryzen 7,292000.0,"| – AMD Ryzen 7 7445HS Processor | 
– 512GB NVMe PCIe 4.0 M.2 SSD | 
– 16GB DDR5-5600 RAM | 
– 15.6″ (1920×1200) IPS-level, 144Hz Display | 
– 4GB NIDIA GeForce RTX 3050 Graphics | 
– Backlit Chiclet Keyboard | 
– Windows 11 Home | 
 | 
 |",https://www.laptop.lk/product/asus-tuf-gaming-a16-fa506ncg-ryzen-7/,https://www.laptop.lk/wp-content/uploads/2025/11/Asus-TUF-Gaming-A16-FA506NCG-–-Ryzen-7-300x300.jpg
Lenovo IdeaPad Slim 5 14AKP10 – Ryzen AI 5,289000.0,"| – AMD Ryzen AI 5 330 Processor | 
– Integrated AMD Ryzen AI, up to 50 TOPS | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 16GB SO-DIMM DDR5-5600 RAM | 
– 14″ WUXGA (1920×1200) IPS 300nits Display | 
– AMD Radeon 820M Graphics | 
– Backlit, English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-ideapad-slim-5-14akp10-ryzen-ai-5/,https://www.laptop.lk/wp-content/uploads/2025/04/Lenovo-IdeaPad-Slim-5-14AKP10-6-300x300.jpg
MSI Thin A15 B7UC 631XLK – Ryzen 5,287500.0,"| – AMD Ryzen 5 7535HS Processor | 
– 512GB PCIe NVMe M.2 SSD | 
– 16GB DDR5-4800 RAM | 
– 15.6″ FHD (1920×1080), 144Hz Display | 
– 4GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
 |",https://www.laptop.lk/product/msi-thin-a15-b7uc-631xlk-ryzen-5/,https://www.laptop.lk/wp-content/uploads/2025/10/MSI-Thin-A15-B7UC-631XLK-LAPTOP-3-300x300.jpg
HP ProBook 4 G1i 16 – Ultra 5,285000.0,"| – Intel Core Ultra 5 225H Processor | 
– 512GB PCIe NVMe SSD | 
– 8GB DDR5-5600 MT/s RAM | 
– 16″ diagonal, WUXGA (1920 x 1200), touch IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-probook-4-g1i-16-ultra-5/,https://www.laptop.lk/wp-content/uploads/2025/12/HP-ProBook-4-G1i-16-–-Ultra-5-300x300.jpg
Asus Vivobook 15 X1504VAP BQ765WS – Core 7,284000.0,"| – Intel Core 7 150U Processor | 
– 512GB NVME M.2 SSD | 
– 16GB DDR4 3200Mhz RAM | 
– 15.6″, FHD, (1920×1080) 250nits Display | 
– Intel UHD Graphics | 
– Backlit Chiclet Keyboard | 
– Windows 11 Home | 
 | 
 |",https://www.laptop.lk/product/asus-vivobook-15-x1504vap-bq765ws-core-7/,https://www.laptop.lk/wp-content/uploads/2026/02/Asus-Vivobook-15-X1504VAP-core-7-300x300.jpg
MSI Modern 15 B12M – i5,284000.0,"| – Intel Core i5 – 1235U Processor | 
– 8GB DDR4 3200MHZ RAM | 
– 512GB NVME M.2 SSD | 
– 15.6”, FHD, IPS-Level Display | 
– Intel Iris Xe Graphics | 
– Backlight Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/msi-modern15-b12m/,https://www.laptop.lk/wp-content/uploads/2023/12/MSI-Modern-15-B12M-–-i5-300x300.webp
HP ProBook 4 G1i 14 – Ultra 5,282000.0,"| – Intel Core Ultra 5 225U Processor | 
– 512GB PCIe NVMe SSD | 
– 8GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-probook-4-g1i-14-ultra-5/,https://www.laptop.lk/wp-content/uploads/2026/01/HP-ProBook-4-G1i-14-–-Ultra-5-300x300.jpg
Lenovo IdeaPad Slim 3 15IRH10 – i7,279000.0,"| – Intel Core i7-13620H Processor | 
– 512GB M.2 2242 PCIe NVMe SSD | 
– 16GB DDR5-4800 RAM | 
– 15.3″ WUXGA (1920×1200) IPS Display | 
– Intel UHD Graphics | 
– Luna Grey Color | 
 |",https://www.laptop.lk/product/lenovo-ideapad-slim-3-15irh10-i7-4/,https://www.laptop.lk/wp-content/uploads/2026/01/Lenovo-IdeaPad-Slim-3-15IRH10-–-i7-300x300.jpg
HP ProBook 460 16″ G11 – Ultra 5,275000.0,"| – Intel Core Ultra 5 125H Processor | 
– 512GB PCIe NVMe SSD | 
– 8GB DDR5-5600 MT/s RAM | 
– 16” diagonal, WUXGA (1920 x 1200), Display | 
– Intel Graphics | 
– Pike silver Color | 
–  | Free HP Renew Business 17.3 Backpack | 
 | 
 |",https://www.laptop.lk/product/hp-probook-460-16inch-g11-ultra-5/,https://www.laptop.lk/wp-content/uploads/2025/02/HP-ProBook-460-16inch-G11-–-Ultra-5-300x300.webp
MSI Cyborg 15 Gaming A13UC- i5,273000.0,"| – Intel Core i5-13420H Processor | 
– 512GB NVMe PCIe SSD | 
– 16GB DDR5 5200MHz RAM | 
– 15.6″ FHD (1920×1080), 144Hz, IPS Display | 
– 4GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
 |",https://www.laptop.lk/product/msi-cyborg-15-gaming-a13uc-i5/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-CYBORG-15-A13UC-LAPTOP-1-300x300.jpg
Acer Nitro V15 ANV15-52-57BB – i5,269000.0,"| – Intel Core i5-13420H Processor | 
– 512GB M.2 NVMe PCIe Gen4 SSD | 
– 16GB DDR4-3200 RAM | 
– 15.6″ FHD (1920×1080), 165Hz Display | 
– 8GB NVIDIA GeForce RTX 5050 GDDR7 | 
– Backlight Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/acer-nitro-v15-anv15-52-57bb-i5/,https://www.laptop.lk/wp-content/uploads/2026/02/Acer-Nitro-V15-ANV15-52-57BB-i5-300x300.jpg
HP Victus 15 Gaming FA2277TX- i5,255000.0,"| – Intel Core i5-13420H Processor | 
– 512GB PCIe Gen4 NVMe M.2 SSD | 
– 8GB DDR4-3200 MT/s RAM | 
– 15.6″, FHD (1920 x 1080), 144 Hz IPS Display | 
–  | 4GB  | NVIDIA GeForce RTX 2050 Graphics | 
– Full-size, Backlit Keyboard | 
– Genuine Windows 11 Home | 
 |",https://www.laptop.lk/product/hp-victus-15-gaming-fa2277tx-i5-2/,https://www.laptop.lk/wp-content/uploads/2025/11/HP-Victus-15-Gaming-i5-5-300x300.jpg
Dell Inspiron 5620 – i5,252000.0,"| – Intel Core i5 – 1235U Processor | 
– 8GB DDR4 3200MHz RAM | 
– 256GB PCIe NVMe SSD | 
– Intel UHD Graphics | 
– 16″, FHD (1920 x 1200) Display | 
– Windows 11 Home | 
– Platinum Silver Color | 
 |",https://www.laptop.lk/product/dell-inspiron-5620-i5/,https://www.laptop.lk/wp-content/uploads/2023/10/Dell-Inspiron-5620-–-i5-1-300x300.webp
HP Victus Gaming 15 Fb3166AX – Ryzen 5,250000.0,"| – AMD Ryzen 5 8645HS Processor | 
– 512GB PCIe Gen4 NVMe M.2 SSD | 
– 8GB DDR5-5600 RAM | 
– 15.6″, FHD (1920 x 1080), 144 Hz Display | 
– 4GB NVIDIA GeForce RTX 2050 Graphics | 
– Full-size Backlit keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/hp-victus-gaming-15-fb3166ax-ryzen-5/,https://www.laptop.lk/wp-content/uploads/2025/11/HP-Victus-Gaming-15-fb3166AX-Ryzen-5-300x300.jpg
HP Victus 15 fa1393TX Gaming – i5,250000.0,"| – Intel Core i5-13420H Processor | 
– 512GB M.2 NVMe SSD | 
– 8GB DDR4 3200MHz RAM | 
– 15.6″, FHD 1920 x 1080, 144Hz IPS Display | 
– 4GB NVIDIA GeForce RTX 2050 Graphics | 
– Full-size, Backlit, mica silver keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/hp-victus-15-fa1393tx-gaming-i5/,https://www.laptop.lk/wp-content/uploads/2025/05/HP-Victus-15-fa1393TX-Gaming-–-i5-300x300.jpg
Asus Vivobook 16 X1607QA MB074WS – Snapdragon,245000.0,"| – Snapdragon X X1 26 100 Processor | 
– 512GB M.2 NVMe PCIe 4.0 SSD | 
– 16GB LPDDR5X RAM | 
– 16″, WUXGA (1920 x 1200) IPS Display | 
– Qualcomm Adreno GPU | 
– Cool Silver Color | 
– Windows 11 Home | 
 | 
 |",https://www.laptop.lk/product/asus-vivobook-16-x1607qa-mb074ws-snapdragon/,https://www.laptop.lk/wp-content/uploads/2025/07/Asus-Vivobook-16-X1607QA-MB074WS-–-i5-300x300.jpg
Asus Vivobook F1605VA-BS74-  i7,239000.0,"| – Intel Core i7-13620H Processor | 
– 512GB M.2 NVMe PCIe SSD | 
– 16GB DDR4 RAM | 
– 16″ WUXGA (1920×1200) Display | 
– Intel Graphics | 
– Backlit Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/asus-vivobook-f1605va-bs74-i7/,https://www.laptop.lk/wp-content/uploads/2026/02/Asus-Vivobook-F1605VA-WS74-i7-1-300x300.jpg
Lenovo IdeaPad Slim 3 15IRH10R – Core 5,239000.0,"| – Intel Core 5 210H Processor | 
– 512GB M.2 PCIe NVMe SSD | 
– 16GB SODIMM DDR5-4800 RAM | 
– 15.3″ WUXGA (1920×1200) IPS Display | 
– Intel Graphics | 
– English Keyboard | 
 |",https://www.laptop.lk/product/lenovo-ideapad-slim-3-15irh10r-core-5-2/,https://www.laptop.lk/wp-content/uploads/2026/01/Lenovo-IdeaPad-Slim-3-15IRH10R-gr-300x300.jpg
Asus Vivobook 16 X1605VA MB5656WS – i5,232000.0,"| – Intel Core i5-13420H Processor | 
– 512GB M.2 NVMe PCIe SSD | 
– 16GB DDR4 RAM | 
– 16″, WUXGA (1920 x 1200), 60Hz IPS Display | 
– Intel UHD Graphics | 
– Cool Silver | 
– Windows 11 Home | 
– Office Home 2024 | 
 | 
 |",https://www.laptop.lk/product/asus-vivobook-16-x1605va-mb5656ws-i5/,https://www.laptop.lk/wp-content/uploads/2025/07/Asus-Vivobook-16-X1605VA-MB5656WS-–-i5-1-300x300.jpg
Asus Vivobook F1605VA-WS74 –  i7,229000.0,"| – Intel Core i7-1355U Processor | 
– 512GB M.2 NVMe PCIe SSD | 
– 16GB DDR4 RAM | 
– 16″ WUXGA (1920×1200) Display | 
– Intel Graphics | 
– Backlit Keyboard | 
– Finger Print | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/asus-vivobook-f1605va-ws74-i7/,https://www.laptop.lk/wp-content/uploads/2026/02/Asus-Vivobook-F1605VA-WS74-i7-300x300.jpg
Dell 15 DC15250 Essential – i5,215000.0,"| – Intel Core i5-1334U Processor | 
– 512GB, M.2, PCIe NVMe, SSD | 
– 8GB DDR4 2666 MHz RAM | 
– 15.6″ FHD (1920 x 1080) 120Hz Display | 
– Intel UHD Graphics | 
– Carbon Black | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/dell-15-dc15250-essential-i5/,https://www.laptop.lk/wp-content/uploads/2026/01/Dell-15-DC15250-i5-2-v-300x300.jpg
